NO_MUNICIPIO,IN_SALA_DIRETORIA_1,IN_INTERNET_1,IN_REDES_SOCIAIS_1,IN_NOTURNO_1,IN_EJA_1,IN_SECRETARIA_1,IN_EQUIP_LOUSA_DIGITAL_1,IN_SALA_PROFESSOR_1,IN_AREA_VERDE_1,IN_REFEITORIO_1,IN_ORGAO_ASS_PAIS_1,IN_ORGAO_ASS_PAIS_MESTRES_1,IN_ORGAO_CONSELHO_ESCOLAR_1,IN_ORGAO_GREMIO_ESTUDANTIL_1,IN_BIBLIOTECA_1,IN_QUADRA_ESPORTES_1,ANO_LETIVO_1,Alunos_Turma_1,COMUNIDADE_1,ACESSIBILIDADE_1,Material_Ped_1,Equipamento_Inform_1,Lab_Inform_1,Atividades_complementares_1,Espacos_1,IN_BANHEIRO_CHUVEIRO_1,Equip_1,QT_SALAS_UTILIZADAS_1,QT_EQUIP_LOUSA_DIGITAL_1,QT_PROF_ADMINISTRATIVOS_1,QT_PROF_SERVICOS_GERAIS_1,QT_PROF_BIBLIOTECARIO_1,QT_PROF_COORDENADOR_1,QT_PROF_NUTRICIONISTA_1,QT_PROF_ALIMENTACAO_1,QT_PROF_MONITORES_1,QT_MAT_BAS_1,QT_MAT_EJA_1,QT_MAT_BAS_0_3_1,QT_MAT_BAS_4_5_1,QT_MAT_BAS_6_10_1,QT_MAT_BAS_11_14_1,QT_MAT_BAS_15_17_1,QT_MAT_BAS_18_MAIS_1,QT_DOC_BAS_1,QT_TUR_BAS_1,nEscolas,Homicidios,Furto,QT_EQ_MULTIMIDIA,QT_EQUIP_INFORMATICA,QT_PROF_SUPORTE,densidade_demografica,populacao_estimada,salario_medio_mensal_trabalhadores_formais,perc_pop_rend_per_capta_meio_sm,tx_escolarizacao_16_14,IDEB_anos_iniciais_ef,IDEB_anos_finais_ef,idhm,pib_per_capta,mortalidade_infantil,esgotamento_sanitario_adequado,sus_hab,perc_populacao_exposta_risco,escolas_hab,homicidios_hab,furtos_hab,NU_TAXA_APROVACAO_1,NU_TAXA_REPROVACAO_1,NU_TAXA_ABANDONO_1
Adamantina,0.8,0.8,0.266666666666667,0.0666666666666667,0.0666666666666667,0.733333333333333,0.0666666666666667,0.666666666666667,0.133333333333333,0.866666666666667,0.133333333333333,0.733333333333333,0.666666666666667,0.0,0.0,0.2,317.33333333333303,15.412841573631,0.266666666666667,0.266666666666667,4.73333333333333,0.2,0.2,0.4,3.2666666666666697,0.33333333333333304,5.6,7.2,0.7333333333333333,0.6666666666666666,4.866666666666666,0.2,0.5333333333333333,0.6,1.5333333333333334,0.9333333333333333,160.8,1.8,42.266666666666666,31.6,80.86666666666666,4.266666666666667,0.0,1.8,16.2,9.466666666666667,15,2,151,6.466666666666667,6.266666666666667,0.7333333333333333,82.15,35153,2.2,0.264,0.976,6.8,5.2,0.79,32400.51,2.61,0.958,22.757659374733308,0.0,42.670611327624954,5.689414843683327,429.55082069809123,0.9678055555555559,0.0278333333333333,0.00436111111111111
Aguaí,0.823529411764706,0.882352941176471,0.588235294117647,0.0588235294117647,0.0588235294117647,0.882352941176471,0.411764705882353,0.823529411764706,0.0588235294117647,0.529411764705882,0.17647058823529396,0.941176470588235,0.17647058823529396,0.0,0.17647058823529396,0.588235294117647,319.0,18.2987884105918,0.411764705882353,0.17647058823529396,4.76470588235294,0.882352941176471,0.17647058823529396,0.3529411764705879,2.76470588235294,0.11764705882352902,5.82352941176471,8.352941176470589,0.4117647058823529,0.5882352941176471,1.9411764705882353,0.058823529411764705,0.6470588235294118,0.0,0.11764705882352941,0.6470588235294118,239.05882352941177,13.0,30.88235294117647,43.8235294117647,107.94117647058823,41.1764705882353,7.0588235294117645,8.176470588235293,22.823529411764707,12.176470588235293,17,3,255,7.117647058823529,19.647058823529413,1.0,67.72,36981,2.3,0.321,0.958,6.2,5.2,0.715,28249.47,10.44,0.9009999999999999,32.44909548146345,0.0,45.96955193207323,8.112273870365863,689.5432789810984,0.9204295302013421,0.0679194630872483,0.0116510067114094
Águas da Prata,0.5,0.833333333333333,0.0,0.0,0.0,0.33333333333333304,0.666666666666667,0.666666666666667,0.0,0.666666666666667,3.0,3.0,3.6666666666666696,3.0,0.0,0.5,317.33333333333303,16.6011904761905,0.0,0.0,6.5,0.166666666666667,0.0,0.33333333333333304,3.0,0.166666666666667,3.8333333333333304,6.666666666666667,3.3333333333333335,0.3333333333333333,2.6666666666666665,0.0,0.0,0.0,2.0,0.0,107.16666666666667,0.0,20.5,27.333333333333332,54.666666666666664,4.666666666666667,0.0,0.0,32.666666666666664,6.166666666666667,6,0,38,3.3333333333333335,0.16666666666666666,0.0,53.05,8262,2.3,0.27899999999999997,0.988,6.6,5.9,0.7809999999999999,20835.97,,0.845,48.41442749939482,0.0,72.62164124909224,0.0,459.9370612442508,0.9670000000000001,0.033,0.0
Águas de Lindóia,0.266666666666667,0.46666666666666706,0.2,0.0666666666666667,0.0666666666666667,0.4,0.0,0.5333333333333329,0.0666666666666667,0.666666666666667,0.0,0.46666666666666706,0.266666666666667,0.266666666666667,0.133333333333333,0.2,316.6,15.7348717948718,0.46666666666666706,0.266666666666667,4.8,0.33333333333333304,0.2,0.33333333333333304,2.6666666666666696,0.0666666666666667,4.13333333333333,11.0,0.0,0.26666666666666666,5.666666666666667,0.2,0.5333333333333333,0.4666666666666667,0.8,0.26666666666666666,161.73333333333332,4.266666666666667,28.866666666666667,26.2,54.8,42.2,6.8,2.8666666666666667,15.533333333333333,8.8,15,0,151,5.8,4.2,1.2666666666666666,287.16,18908,2.0,0.263,0.9620000000000001,6.5,5.2,0.745,28385.89,4.02,0.929,47.5988999365348,0.16728368944362174,79.33149989422466,0.0,798.6037656018616,0.9402758620689659,0.0398068965517241,0.0199172413793103
Águas de São Pedro,1.0,1.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,0.0,0.5,314.0,17.097826086956502,1.0,1.0,6.0,1.0,0.5,0.0,2.5,0.0,7.5,19.5,0.0,2.5,7.0,0.0,0.5,1.0,3.5,3.5,324.5,0.0,42.0,36.0,138.5,105.0,3.0,0.0,39.0,17.5,2,0,31,22.0,68.0,3.5,488.89,3588,2.2,0.263,0.9840000000000001,7.4,6.3,0.8540000000000001,42279.55,,0.9740000000000001,111.48272017837235,0.0,55.74136008918617,0.0,863.9910813823857,0.972,0.027999999999999997,0.0
Agudos,0.8888888888888891,1.0,0.7777777777777779,0.0555555555555556,0.0555555555555556,1.0,0.444444444444444,1.0,0.222222222222222,0.7222222222222221,0.0,1.0,1.0,0.0,0.222222222222222,0.33333333333333304,322.055555555556,19.2392915158266,0.555555555555556,0.666666666666667,5.5,0.277777777777778,0.166666666666667,0.7777777777777779,3.38888888888889,0.7222222222222221,5.83333333333333,8.666666666666666,0.7777777777777778,1.1666666666666667,3.2222222222222223,0.7222222222222222,0.8333333333333334,0.0,2.611111111111111,0.16666666666666666,230.61111111111111,0.5,55.111111111111114,50.05555555555556,120.88888888888889,4.055555555555555,0.05555555555555555,0.4444444444444444,15.38888888888889,11.666666666666666,18,3,372,8.444444444444445,4.833333333333333,2.3333333333333335,35.73,37582,2.5,0.316,0.9790000000000001,6.5,5.1,0.745,61650.21,20.37,0.953,15.965089670586982,0.0,47.89526901176095,7.982544835293491,989.8355595763929,0.8788438818565399,0.0797299578059072,0.0414261603375527
Alfredo Marcondes,1.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,317.0,21.25,0.0,0.5,4.5,0.0,0.0,0.5,3.0,1.0,3.5,5.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,106.0,0.0,60.5,45.5,0.0,0.0,0.0,0.0,13.5,5.0,2,0,12,10.5,0.0,1.0,32.86,4201,1.9,0.292,0.986,6.9,5.0,0.741,20861.37,25.0,0.8440000000000001,23.803856224708404,0.0,47.60771244941681,0.0,285.6462746965008,0.9079999999999999,0.067,0.025
Altinópolis,1.0,0.9,0.6,0.1,0.1,0.7,0.0,0.9,0.1,0.8,1.0,1.8,1.8,1.0,0.3,0.5,314.0,23.2595192307692,0.5,0.3,3.4,0.6,0.4,0.6,3.6,0.6,4.9,10.7,0.0,1.0,3.3,0.0,0.7,0.0,1.4,0.8,203.6,5.7,37.7,34.9,88.2,32.1,7.1,3.6,10.9,8.7,10,2,126,6.9,4.0,1.7,16.8,16221,2.1,0.299,0.993,6.6,5.3,0.73,33073.73,18.29,0.878,49.318784291967205,0.0,61.648480364959006,12.329696072991801,776.7708525984834,0.9031111111111109,0.0364444444444444,0.0604444444444444
Alto Alegre,1.0,1.0,0.0,0.0,0.0,0.33333333333333304,0.0,0.666666666666667,0.0,1.0,3.0,3.3333333333333304,3.3333333333333304,3.0,0.33333333333333304,0.33333333333333304,316.0,17.8666666666667,0.0,0.666666666666667,3.3333333333333304,0.33333333333333304,0.0,0.33333333333333304,2.0,0.0,5.0,8.333333333333334,0.0,0.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,126.0,0.0,12.666666666666666,35.333333333333336,74.66666666666667,3.3333333333333335,0.0,0.0,6.333333333333333,6.666666666666667,3,0,15,5.0,4.0,0.0,12.86,4078,2.4,0.28300000000000003,0.951,8.1,4.6,0.7,29423.18,27.03,0.8270000000000001,98.0872976949485,0.0,73.56547327121137,0.0,367.82736635605687,0.976,0.008,0.016
Alumínio,0.36363636363636404,0.0,0.0,0.0909090909090909,0.0909090909090909,0.818181818181818,0.0,0.545454545454545,0.0,0.6363636363636359,6.545454545454549,6.81818181818182,6.63636363636364,6.545454545454549,0.0,0.545454545454545,317.272727272727,19.261508361779303,0.0,0.0909090909090909,1.0,0.9090909090909091,0.818181818181818,0.45454545454545503,2.7272727272727297,0.272727272727273,5.81818181818182,9.363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.54545454545456,6.2727272727272725,31.818181818181817,43.0,94.63636363636364,80.0,12.545454545454545,4.545454545454546,17.818181818181817,13.0,11,1,141,7.363636363636363,10.090909090909092,0.0,201.28,18903,3.8,0.355,0.988,6.7,5.2,0.7659999999999999,115258.2,14.93,0.852,21.16066232873089,0.1541025234089827,58.19182140400994,5.2901655821827225,745.9133470877639,0.9890000000000001,0.011000000000000001,0.0
